Formato;Ref.;Linha;Coleção;Cor;Superfície;Faces;Variação de Tonalidade;Local de Uso;Derivação;m2/cx;peças/cx;m2/pallet;cx/pallet;peso bruto/m2;peso bruto/cx;"Espessura
mm"; Preco 1 ; Preco 2 ; Preco 3 ; Preco 4 
123 x 123;123053 - VILLA ART;PIETRA DI TIBUR;Minerale;única;Natural Sense UP;6;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 105,24 ; R$ 119,28 ; R$ 135,66 ; R$ 156,45 
123 x 123;123054;PIETRA DI MILOS;Minerale;bianco;Natural SenseUP;8;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 114,64 ; R$ 129,61 ; R$ 146,98 ; R$ 168,78 
123 x 123;123055;PIETRA DI MILOS;Minerale;argento;Natural SenseUP;8;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 114,68 ; R$ 129,71 ; R$ 147,15 ; R$ 169,06 
123 x 123;123056;PIETRA DI MERAPI;Minerale;grigio;Natural SenseUP;8;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 114,90 ; R$ 130,23 ; R$ 148,09 ; R$ 170,58 
123 x 123;123057;PIETRA DI MERAPI;Minerale;sabbia;Natural SenseUP;8;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 114,68 ; R$ 129,69 ; R$ 147,11 ; R$ 169,00 
123 x 123;123058;RENASCENCE;Marmo;bronze;Natural Vein;6;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 87,05 ; R$ 99,02 ; R$ 113,06 ; R$ 130,83 
123 x 123;123059;RENASCENCE;Marmo;bronze;Externo SAP;6;V3;6;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 96,53 ; R$ 110,51 ; R$ 127,12 ; R$ 148,36 
123 x 123;123062;PIETRA DI MERAPI;Minerale;grigio;Externo SAP;8;V3;6;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 96,02 ; R$ 109,27 ; R$ 124,84 ; R$ 144,56 
123 x 123;123063;PIETRA DI MERAPI;Minerale;sabbia;Externo SAP;8;V3;6;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 96,05 ; R$ 109,35 ; R$ 124,98 ; R$ 144,80 
123 x 123;123064;ZEN;Minerale;aurora;Natural SAP;6;V3;5;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 102,18 ; R$ 116,54 ; R$ 133,46 ; R$ 154,97 
123 x 123;123065;ZEN;Minerale;orvalho;Natural SAP;6;V3;5;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 102,13 ; R$ 116,41 ; R$ 133,23 ; R$ 154,60 
123 x 123;123066;ZEN;Minerale;orvalho;Externo SAP;6;V3;6;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 96,07 ; R$ 109,41 ; R$ 125,10 ; R$ 144,99 
123 x 123;123068;ELYSIUM;Marmo;única;Natural Vein;8;V2;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 87,06 ; R$ 99,03 ; R$ 113,08 ; R$ 130,88 
123 x 123;123069;PANTHEON;Minerale;única;Natural Grit;6;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 83,81 ; R$ 94,91 ; R$ 107,83 ; R$ 124,08 
123 x 123;123070;PANTHEON;Minerale;única;Externo;6;V3;6;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 86,98 ; R$ 98,84 ; R$ 112,73 ; R$ 130,30 
123 x 123;123071;BLACK SUPREME;Minerale;única;Natural Grit;6;V2;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 96,31 ; R$ 109,61 ; R$ 125,22 ; R$ 145,00 
123 x 123;123072;CHRONOS;Bistrô;metallo;Natural Brushed;6;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 102,51 ; R$ 116,32 ; R$ 132,46 ; R$ 152,83 
123 x 123;123073;CHRONOS;Bistrô;petra;Natural Brushed;6;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 102,77 ; R$ 116,95 ; R$ 133,61 ; R$ 154,71 
123 x 123;123074;SERENITÀ;Marmo;única;Natural Vein;8;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 87,03 ; R$ 98,97 ; R$ 112,96 ; R$ 130,68 
123 x 123;123075;PIETRA VIVA;Marmo;única;Natural Vein;8;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 87,05 ; R$ 99,02 ; R$ 113,06 ; R$ 130,83 
123 x 123;123076;PIETRA VIVA;Marmo;única;Externo SAP;8;V3;6;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 96,53 ; R$ 110,51 ; R$ 127,12 ; R$ 148,36 
123 x 123;123077;TAJ CRYSTAL;Marmo;única;Natural Soft;8;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 80,49 ; R$ 90,87 ; R$ 102,88 ; R$ 117,93 
123 x 123;123078;TAJ CRYSTAL;Marmo;única;Polido;8;V3;2;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 94,86 ; R$ 106,96 ; R$ 120,93 ; R$ 138,40 
123 x 123;123079;CHRONOS;Bistrô;metallo;Externo SAP;6;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 91,33 ; R$ 103,34 ; R$ 117,29 ; R$ 134,82 
123 x 123;123080;CHRONOS;Bistrô;petra;Externo SAP;6;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 91,33 ; R$ 103,33 ; R$ 117,28 ; R$ 134,81 
123 x 123;123081;LUNAR;Minerale;única;Natural Sense IN;8;V2;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 93,36 ; R$ 105,92 ; R$ 120,60 ; R$ 139,10 
123 x 123;123082;LUNAR;Minerale;única;Externo Sense IN;8;V2;4;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 80,58 ; R$ 90,27 ; R$ 101,34 ; R$ 115,07 
123 x 123;123083 - VILLA ART;PIETRA DI PUGLIA;Minerale;única;Natural Sense IN;8;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 99,36 ; R$ 113,33 ; R$ 129,78 ; R$ 150,82 
123 x 123;123084 - VILLA ART;PIETRA DI PUGLIA;Minerale;única;Externo Sense IN;8;V3;4;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 93,02 ; R$ 105,44 ; R$ 119,91 ; R$ 138,29 
123 x 123;123085 - VILLA ART;NAZCA;Minerale;off white;Natural Sense IN;6;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 98,86 ; R$ 112,75 ; R$ 129,12 ; R$ 150,05 
123 x 123;123086 - VILLA ART;NAZCA;Minerale;grey;Natural Sense IN;6;V3;3;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 99,86 ; R$ 113,89 ; R$ 130,42 ; R$ 151,57 
123 x 123;123087 - VILLA ART;NAZCA;Minerale;grey;Externo Sense IN;6;V3;4;R315;3,03;2;72,72;24;20,80;63,00;9,0; R$ 85,92 ; R$ 96,32 ; R$ 108,21 ; R$ 122,98 
18 x 122;SPC1850001;PARIS;Vinílico;única;Vinílico;6;capa desgaste 0,3 mm;23 / 31;M503;2,22;10;144,30;65;8,65;19,20;5,0; R$ -   ; R$ -   ; R$ -   ; R$ -   
18 x 122;SPC1850002;AVIGNON;;;;;;;;;;;;;;; R$ -   ; R$ -   ; R$ -   ; R$ -   
19,2 x 122;LVT19220001;PROVENCE;Vinílico;freijó;Vinílico;6;capa desgaste 0,2 mm;22;L100;4,68;20;374,40;80;3,70;17,32;2,0; R$ -   ; R$ -   ; R$ -   ; R$ -   
19,2 x 122;LVT19220002;PROVENCE;;amêndoa;;;;;;;;;;;;; R$ -   ; R$ -   ; R$ -   ; R$ -   
19,2 x 122;LVT19220003;DIJON;;única;;;;;;;;;;;;; R$ -   ; R$ -   ; R$ -   ; R$ -   
19,2 x 122;LVT19220004;VERSAILLES;;carvalho;;;;;;;;;;;;; R$ -   ; R$ -   ; R$ -   ; R$ -   
19,2 x 122; LVT19220005 ;LILLE;;jatobá;;;;;;;;;;;;; R$ -   ; R$ -   ; R$ -   ; R$ -   
19,2 x 122;LVT19220006;LILLE;;carvalho;;;;;;;;;;;;; R$ -   ; R$ -   ; R$ -   ; R$ -   
19,2 x 122;LVT19220007;PARIS;;única;;;;;;;;;;;;; R$ -   ; R$ -   ; R$ -   ; R$ -   
19,2 x 122;LVT19330001;VERSAILLES;Vinílico;natural;Vinílico;6;capa desgaste 0,3 mm;23 / 31;L200;3,75;16;262,50;70;5,50;20,63;3,0; R$ -   ; R$ -   ; R$ -   ; R$ -   
19,2 x 122;LVT19330002;MARSEILLE;;única;;;;;;;;;;;;; R$ -   ; R$ -   ; R$ -   ; R$ -   
19,2 x 122;LVT19330003;RENNES;;única;;;;;;;;;;;;; R$ -   ; R$ -   ; R$ -   ; R$ -   
96 x 96;LVT96350001;LA CITÉ;Vinílico;única;Vinílico;6;capa desgaste 0,55 mm;33 / 42;L400;4,61;5;147,52;32;5,50;25,35;3,0; R$ -   ; R$ -   ; R$ -   ; R$ -   
96 x 96;LVT96350002;LE MARAIS;;;;;;;;;;;;;;; R$ -   ; R$ -   ; R$ -   ; R$ -   
96 x 96;LVT96350003;POMPIDOU;;;;;;;;;;;;;;; R$ -   ; R$ -   ; R$ -   ; R$ -   
96 x 96;LVT96350004;SAINT-LOUIS;;;;;;;;;;;;;;; R$ -   ; R$ -   ; R$ -   ; R$ -   
